EmployeeID,StartDate,DOB,Age,YearsAtCompany,TrainingDate,SurveyDate,Department,JobRole,Attrition,BusinessTravel,Overtime,Gender,MaritalStatus,EducationField,PerformanceRating,MonthlyIncome,NumCompaniesWorked,DistanceFromHome,TrainingProgram,TrainingType,TrainingOutcome,TrainingCost,EngagementScore,SatisfactionScore,WorkLifeBalanceScore
EMP0001,01-Jul-17,26-May-71,55,8,08-Oct-22,17-Mar-25,Research & Development,Manufacturing Director,Yes,Frequently,Yes,Female,Widowed,Medical,4,84757,4,19,Project Management,External,Failed,200.36,4,3,5
EMP0002,24-Jul-15,14-Dec-99,27,10,05-Aug-17,01-Apr-26,Human Resources,Recruiter,No,Travel,No,Male,Widowed,Life Sciences,4,74184,2,10,Technical Skills,Internal,Failed,204.71,2,5,1
EMP0003,03-Mar-21,20-Jul-99,27,5,31-Mar-22,24-Jan-25,Research & Development,Laboratory Technician,No,Rarely,No,Female,Single,Marketing,5,83355,1,9,Project Management,Internal,Passed,953.72,4,3,4
EMP0004,29-Jun-20,10-Sep-93,33,5,19-Apr-23,18-Nov-25,Research & Development,Manufacturing Director,No,Rarely,Yes,Female,Married,Human Resources,5,58792,7,18,Project Management,External,Passed,292.21,2,2,4
EMP0005,03-Jan-20,03-Feb-84,42,6,13-Apr-24,25-Sep-24,Sales,Sales Representative,No,Rarely,No,Female,Married,Medical,3,51863,1,7,Leadership Development,Internal,Incomplete,834.33,3,3,5
EMP0006,17-Feb-18,10-Nov-84,42,8,09-Apr-18,05-May-25,Sales,Sales Representative,No,Rarely,No,Male,Divorced,Medical,5,43433,1,3,Technical Skills,Internal,Failed,322.03,4,4,4
EMP0007,19-Apr-17,20-Aug-85,41,9,31-Aug-18,11-Dec-25,Sales,Sales Executive,No,Rarely,Yes,Male,Single,Medical,1,72178,1,12,Project Management,External,Failed,487.7,3,5,4
EMP0008,13-Dec-16,23-Mar-77,49,9,25-Jul-25,20-Aug-24,Research & Development,Research Scientist,No,Rarely,No,Male,Widowed,Other,3,44204,6,15,Technical Skills,External,Failed,689.45,4,4,5
EMP0009,18-Jun-24,15-Jun-76,50,1,27-Feb-25,24-Jan-25,Research & Development,Manufacturing Director,No,Rarely,No,Male,Married,Life Sciences,5,101973,6,22,Customer Service,Internal,Passed,242.98,2,3,4
EMP0010,18-Sep-15,28-Dec-02,24,10,11-Jan-20,20-Feb-26,Research & Development,Research Scientist,No,Frequently,No,Female,Married,Technical Degree,3,38847,3,21,Customer Service,Internal,Passed,763.52,4,3,2
